timestamp,outside_temp,classroom_occupancy_avg,cafeteria_occupancy,total_occupancy,energy_kw
2026-04-04 09:00:00,20.83,1,12,22,31.32
2026-04-04 10:00:00,24.85,2,0,20,34.6
2026-04-04 11:00:00,24.51,4,13,53,70.39
2026-04-04 12:00:00,25.0,4,1,41,57.0
2026-04-04 13:00:00,22.0,3,6,36,45.55
2026-04-04 14:00:00,25.12,2,4,24,35.27
2026-04-04 15:00:00,22.64,0,15,15,21.29
2026-04-04 16:00:00,19.04,1,19,29,44.9
2026-04-04 17:00:00,16.46,2,18,38,62.03
2026-04-04 18:00:00,14.75,4,18,58,90.79
2026-04-04 19:00:00,12.26,1,10,20,51.29
2026-04-04 20:00:00,9.57,3,11,41,88.86
2026-04-04 21:00:00,8.33,3,10,40,89.15
2026-04-04 22:00:00,7.69,3,15,45,94.27
2026-04-04 23:00:00,4.38,3,4,34,95.37
2026-04-05 00:00:00,3.94,0,14,14,71.15
2026-04-05 01:00:00,5.42,4,10,50,112.53
2026-04-05 02:00:00,6.21,0,14,14,67.6
2026-04-05 03:00:00,5.42,2,7,27,80.45
2026-04-05 04:00:00,10.28,4,14,54,100.74
2026-04-05 05:00:00,12.75,0,5,5,33.8
2026-04-05 06:00:00,15.1,0,5,5,28.37
2026-04-05 07:00:00,20.3,3,10,40,51.33
2026-04-05 08:00:00,20.78,0,12,12,20.0
2026-04-05 09:00:00,22.11,1,18,28,31.93
2026-04-05 10:00:00,24.24,3,0,30,45.63
2026-04-05 11:00:00,26.23,1,0,10,27.88
2026-04-05 12:00:00,25.95,4,9,49,73.05
2026-04-05 13:00:00,25.32,0,17,17,33.08
2026-04-05 14:00:00,22.64,2,13,33,42.51
2026-04-05 15:00:00,22.74,3,12,42,50.71
2026-04-05 16:00:00,19.15,3,13,43,62.59
2026-04-05 17:00:00,18.19,4,18,58,80.55
2026-04-05 18:00:00,13.82,3,6,36,65.5
2026-04-05 19:00:00,11.68,1,3,13,44.05
2026-04-05 20:00:00,10.29,4,5,45,87.86
2026-04-05 21:00:00,7.87,4,0,40,89.64
2026-04-05 22:00:00,5.08,1,5,15,68.9
2026-04-05 23:00:00,6.14,0,19,19,73.84
2026-04-06 00:00:00,5.65,3,0,30,85.54
2026-04-06 01:00:00,6.75,2,0,20,67.06
2026-04-06 02:00:00,6.26,0,3,3,52.83
2026-04-06 03:00:00,9.22,2,7,27,67.43
2026-04-06 04:00:00,9.44,1,0,10,46.03
2026-04-06 05:00:00,12.78,1,0,10,42.12
2026-04-06 06:00:00,14.74,1,6,16,39.7
2026-04-06 07:00:00,18.09,4,0,40,58.43
2026-04-06 08:00:00,20.24,44,44,484,584.48
2026-04-06 09:00:00,20.76,40,25,425,511.46
2026-04-06 10:00:00,23.14,46,28,488,591.33
2026-04-06 11:00:00,25.07,16,45,205,257.41
2026-04-06 12:00:00,23.44,18,129,309,375.09
2026-04-06 13:00:00,24.71,18,161,341,415.85
2026-04-06 14:00:00,23.23,44,161,601,722.62
2026-04-06 15:00:00,21.56,47,27,497,596.22
2026-04-06 16:00:00,19.11,31,40,350,429.96
2026-04-06 17:00:00,16.76,14,49,189,243.13
2026-04-06 18:00:00,11.99,24,25,265,349.46
2026-04-06 19:00:00,12.72,0,4,4,31.87
2026-04-06 20:00:00,8.99,0,3,3,46.15
2026-04-06 21:00:00,9.33,2,0,20,64.6
2026-04-06 22:00:00,6.64,4,2,42,95.93
2026-04-06 23:00:00,2.3,2,0,20,87.17
2026-04-07 00:00:00,5.7,1,7,17,71.36
2026-04-07 01:00:00,4.48,0,0,0,52.86
2026-04-07 02:00:00,4.63,3,0,30,86.37
2026-04-07 03:00:00,7.66,2,0,20,68.96
2026-04-07 04:00:00,10.45,4,0,40,84.27
2026-04-07 05:00:00,12.08,1,2,12,45.13
2026-04-07 06:00:00,13.43,4,0,40,76.23
2026-04-07 07:00:00,18.65,4,0,40,56.79
2026-04-07 08:00:00,17.98,58,26,606,739.54
2026-04-07 09:00:00,22.07,58,30,610,736.0
2026-04-07 10:00:00,23.36,45,47,497,600.78
2026-04-07 11:00:00,25.24,22,32,252,311.78
2026-04-07 12:00:00,24.9,19,186,376,460.38
2026-04-07 13:00:00,24.9,24,115,355,437.43
2026-04-07 14:00:00,25.79,39,156,546,665.8
2026-04-07 15:00:00,22.01,48,45,525,631.05
2026-04-07 16:00:00,20.66,40,40,440,533.93
2026-04-07 17:00:00,17.19,12,32,152,201.14
2026-04-07 18:00:00,16.03,13,40,170,222.42
2026-04-07 19:00:00,12.64,3,0,30,63.44
2026-04-07 20:00:00,11.37,3,0,30,67.43
2026-04-07 21:00:00,6.71,0,0,0,47.54
2026-04-07 22:00:00,7.28,4,0,40,93.04
2026-04-07 23:00:00,5.95,0,0,0,49.34
2026-04-08 00:00:00,5.56,0,1,1,52.04
2026-04-08 01:00:00,4.77,4,0,40,95.93
2026-04-08 02:00:00,6.85,4,0,40,93.95
2026-04-08 03:00:00,7.71,4,3,43,96.88
2026-04-08 04:00:00,10.6,4,8,48,92.43
2026-04-08 05:00:00,10.74,3,6,36,76.18
2026-04-08 06:00:00,15.55,4,0,40,69.66
2026-04-08 07:00:00,17.04,1,6,16,31.52
2026-04-08 08:00:00,22.24,46,37,497,598.89
2026-04-08 09:00:00,21.61,57,40,610,732.02
2026-04-08 10:00:00,24.9,43,23,453,554.3
2026-04-08 11:00:00,23.77,21,30,240,291.53
2026-04-08 12:00:00,26.5,10,182,282,353.92
2026-04-08 13:00:00,23.61,19,124,314,382.62
2026-04-08 14:00:00,24.41,40,127,527,634.99
2026-04-08 15:00:00,19.41,46,45,505,612.71
2026-04-08 16:00:00,20.57,47,44,514,620.17
2026-04-08 17:00:00,17.74,11,46,156,200.76
2026-04-08 18:00:00,13.67,14,40,180,240.29
2026-04-08 19:00:00,12.4,3,4,34,71.74
2026-04-08 20:00:00,11.72,4,2,42,82.85
2026-04-08 21:00:00,6.89,3,9,39,93.72
2026-04-08 22:00:00,5.18,0,0,0,51.39
2026-04-08 23:00:00,5.78,4,8,48,105.88
2026-04-09 00:00:00,4.71,1,0,10,62.06
2026-04-09 01:00:00,4.71,0,0,0,55.29
2026-04-09 02:00:00,6.71,1,0,10,54.91
2026-04-09 03:00:00,8.7,4,8,48,96.81
2026-04-09 04:00:00,10.09,3,7,37,78.33
2026-04-09 05:00:00,11.13,4,7,47,90.08
2026-04-09 06:00:00,15.34,3,5,35,60.97
2026-04-09 07:00:00,17.75,0,0,0,20.0
2026-04-09 08:00:00,20.9,40,43,443,537.22
2026-04-09 09:00:00,23.93,54,27,567,688.22
2026-04-09 10:00:00,24.11,43,20,450,548.39
2026-04-09 11:00:00,24.95,15,36,186,232.65
2026-04-09 12:00:00,26.07,19,123,313,388.11
2026-04-09 13:00:00,23.78,19,129,319,387.04
2026-04-09 14:00:00,24.48,44,116,556,672.45
2026-04-09 15:00:00,20.75,38,34,414,500.13
2026-04-09 16:00:00,19.61,41,48,458,555.29
2026-04-09 17:00:00,15.76,13,46,176,229.18
2026-04-09 18:00:00,15.03,22,36,256,326.44
2026-04-09 19:00:00,11.88,1,0,10,39.79
2026-04-09 20:00:00,9.12,3,9,39,83.82
2026-04-09 21:00:00,7.36,3,0,30,79.62
2026-04-09 22:00:00,5.88,0,8,8,58.67
2026-04-09 23:00:00,5.67,1,8,18,69.53
2026-04-10 00:00:00,4.83,1,0,10,62.22
2026-04-10 01:00:00,3.5,1,8,18,78.43
2026-04-10 02:00:00,5.89,0,6,6,59.96
2026-04-10 03:00:00,7.42,1,1,11,57.8
2026-04-10 04:00:00,10.64,1,0,10,44.44
2026-04-10 05:00:00,11.46,2,0,20,57.85
2026-04-10 06:00:00,12.81,0,3,3,33.08
2026-04-10 07:00:00,15.74,1,5,15,38.62
2026-04-10 08:00:00,19.69,57,22,592,716.21
2026-04-10 09:00:00,21.76,42,49,469,566.03
2026-04-10 10:00:00,24.14,40,30,430,521.98
2026-04-10 11:00:00,25.42,11,22,132,168.56
2026-04-10 12:00:00,24.56,10,157,257,317.81
2026-04-10 13:00:00,24.7,15,124,274,338.02
2026-04-10 14:00:00,22.48,34,128,468,562.14
2026-04-10 15:00:00,21.36,35,29,379,456.79
2026-04-10 16:00:00,19.55,41,24,434,525.7
2026-04-10 17:00:00,17.16,14,49,189,241.08
2026-04-10 18:00:00,15.69,19,38,228,293.86
2026-04-10 19:00:00,13.71,4,0,40,73.4
2026-04-10 20:00:00,9.06,3,5,35,80.55
2026-04-10 21:00:00,7.65,1,0,10,54.58
2026-04-10 22:00:00,8.14,4,0,40,90.01
2026-04-10 23:00:00,4.75,1,8,18,71.08
2026-04-11 00:00:00,5.8,4,9,49,109.35
2026-04-11 01:00:00,4.42,3,19,49,111.14
2026-04-11 02:00:00,6.03,2,16,36,92.19
2026-04-11 03:00:00,7.84,3,10,40,90.76
2026-04-11 04:00:00,9.57,2,6,26,70.18
2026-04-11 05:00:00,14.0,3,2,32,60.87
2026-04-11 06:00:00,13.87,4,6,46,80.57
2026-04-11 07:00:00,19.67,1,2,12,20.89
2026-04-11 08:00:00,20.07,1,2,12,20.0
2026-04-11 09:00:00,22.48,3,8,38,48.88
2026-04-11 10:00:00,23.66,2,15,35,46.85
2026-04-11 11:00:00,26.3,2,19,39,55.57
2026-04-11 12:00:00,24.48,2,10,30,42.79
2026-04-11 13:00:00,25.27,3,7,37,57.94
2026-04-11 14:00:00,22.92,0,14,14,20.0
2026-04-11 15:00:00,24.14,2,19,39,52.04
2026-04-11 16:00:00,20.43,4,2,42,54.72
2026-04-11 17:00:00,17.97,0,18,18,34.6
2026-04-11 18:00:00,13.53,4,19,59,92.8
2026-04-11 19:00:00,13.79,2,7,27,57.22
2026-04-11 20:00:00,8.5,2,4,24,70.52
2026-04-11 21:00:00,10.1,4,13,53,101.75
2026-04-11 22:00:00,6.45,3,3,33,88.14
2026-04-11 23:00:00,5.9,2,16,36,90.73
2026-04-12 00:00:00,6.71,4,4,44,99.21
2026-04-12 01:00:00,6.59,4,12,52,109.78
2026-04-12 02:00:00,7.27,1,13,23,70.3
2026-04-12 03:00:00,6.81,0,1,1,44.96
2026-04-12 04:00:00,9.53,2,16,36,84.08
2026-04-12 05:00:00,12.2,4,11,51,90.79
2026-04-12 06:00:00,14.89,3,16,46,75.01
2026-04-12 07:00:00,18.05,0,8,8,20.6
2026-04-12 08:00:00,18.34,2,13,33,49.49
2026-04-12 09:00:00,21.71,3,18,48,60.71
2026-04-12 10:00:00,24.35,0,8,8,20.0
2026-04-12 11:00:00,24.17,1,18,28,40.73
2026-04-12 12:00:00,24.58,3,12,42,55.34
2026-04-12 13:00:00,23.64,1,18,28,40.2
2026-04-12 14:00:00,24.81,0,18,18,30.15
2026-04-12 15:00:00,21.64,3,19,49,59.63
2026-04-12 16:00:00,19.35,3,9,39,54.62
2026-04-12 17:00:00,14.42,4,7,47,79.44
2026-04-12 18:00:00,15.02,3,1,31,60.81
2026-04-12 19:00:00,11.92,1,15,25,63.2
2026-04-12 20:00:00,11.26,0,10,10,43.61
2026-04-12 21:00:00,8.72,3,3,33,77.42
2026-04-12 22:00:00,4.84,1,15,25,80.51
2026-04-12 23:00:00,4.47,4,13,53,115.9
2026-04-13 00:00:00,5.57,3,0,30,84.73
2026-04-13 01:00:00,5.2,0,0,0,49.18
2026-04-13 02:00:00,7.4,0,7,7,53.79
2026-04-13 03:00:00,8.25,2,7,27,71.1
2026-04-13 04:00:00,11.86,3,1,31,66.46
2026-04-13 05:00:00,11.2,4,7,47,90.01
2026-04-13 06:00:00,13.81,2,9,29,58.66
2026-04-13 07:00:00,16.43,2,2,22,43.21
2026-04-13 08:00:00,21.27,50,45,545,658.77
2026-04-13 09:00:00,20.91,45,38,488,589.27
2026-04-13 10:00:00,23.01,47,34,504,607.41
2026-04-13 11:00:00,24.51,13,44,174,216.13
2026-04-13 12:00:00,26.39,13,134,264,330.72
2026-04-13 13:00:00,25.17,15,185,335,411.02
2026-04-13 14:00:00,22.97,42,184,604,726.76
2026-04-13 15:00:00,22.29,31,42,352,425.59
2026-04-13 16:00:00,20.53,33,23,353,429.83
2026-04-13 17:00:00,17.08,12,39,159,207.9
2026-04-13 18:00:00,15.66,22,36,256,326.45
2026-04-13 19:00:00,12.08,4,6,46,83.0
2026-04-13 20:00:00,9.44,0,4,4,44.03
2026-04-13 21:00:00,9.2,3,4,34,78.63
2026-04-13 22:00:00,4.77,3,0,30,88.48
2026-04-13 23:00:00,5.6,2,8,28,81.57
2026-04-14 00:00:00,5.58,1,0,10,60.87
2026-04-14 01:00:00,4.66,2,5,25,82.63
2026-04-14 02:00:00,6.18,4,5,45,104.63
2026-04-14 03:00:00,6.86,4,9,49,102.65
2026-04-14 04:00:00,10.56,4,8,48,88.58
2026-04-14 05:00:00,10.65,3,9,39,83.45
2026-04-14 06:00:00,15.71,0,0,0,20.0
2026-04-14 07:00:00,15.08,1,4,14,38.43
2026-04-14 08:00:00,21.84,44,31,471,568.26
2026-04-14 09:00:00,22.52,57,44,614,741.17
2026-04-14 10:00:00,25.55,51,21,531,647.46
2026-04-14 11:00:00,23.17,21,46,256,312.57
2026-04-14 12:00:00,25.09,16,191,351,434.25
2026-04-14 13:00:00,24.52,13,100,230,281.34
2026-04-14 14:00:00,23.58,45,154,604,729.39
2026-04-14 15:00:00,21.63,44,39,479,575.5
2026-04-14 16:00:00,20.26,35,21,371,446.97
2026-04-14 17:00:00,17.37,23,20,250,313.38
2026-04-14 18:00:00,14.69,20,48,248,318.55
2026-04-14 19:00:00,12.68,0,0,0,28.99
2026-04-14 20:00:00,9.72,0,7,7,44.16
2026-04-14 21:00:00,7.08,2,8,28,80.18
2026-04-14 22:00:00,6.21,1,6,16,66.59
2026-04-14 23:00:00,4.61,3,4,34,92.85
2026-04-15 00:00:00,6.56,4,7,47,101.69
2026-04-15 01:00:00,3.55,1,6,16,73.97
2026-04-15 02:00:00,6.75,4,5,45,96.28
2026-04-15 03:00:00,6.31,1,0,10,57.83
2026-04-15 04:00:00,10.41,1,0,10,47.73
2026-04-15 05:00:00,11.7,0,9,9,43.25
2026-04-15 06:00:00,17.56,4,0,40,58.33
2026-04-15 07:00:00,17.43,1,0,10,28.57
2026-04-15 08:00:00,19.78,40,38,438,530.82
2026-04-15 09:00:00,22.37,44,35,475,573.16
2026-04-15 10:00:00,25.07,55,40,590,717.05
2026-04-15 11:00:00,25.8,12,45,165,209.8
2026-04-15 12:00:00,25.12,19,160,350,428.95
2026-04-15 13:00:00,23.87,13,130,260,317.01
2026-04-15 14:00:00,25.54,30,142,442,542.57
2026-04-15 15:00:00,21.05,30,49,349,422.1
2026-04-15 16:00:00,20.05,38,24,404,492.83
2026-04-15 17:00:00,18.72,23,40,270,334.15
2026-04-15 18:00:00,15.35,15,46,196,255.38
2026-04-15 19:00:00,11.54,2,0,20,58.0
2026-04-15 20:00:00,9.88,3,0,30,71.24
2026-04-15 21:00:00,7.47,3,0,30,74.26
2026-04-15 22:00:00,6.06,0,0,0,51.35
2026-04-15 23:00:00,6.28,2,0,20,72.33
2026-04-16 00:00:00,4.51,1,0,10,62.77
2026-04-16 01:00:00,6.25,0,6,6,51.35
2026-04-16 02:00:00,6.87,1,4,14,60.97
2026-04-16 03:00:00,6.45,0,4,4,51.08
2026-04-16 04:00:00,11.09,1,0,10,45.5
2026-04-16 05:00:00,12.91,0,5,5,35.79
2026-04-16 06:00:00,17.23,1,3,13,30.04
2026-04-16 07:00:00,17.42,3,9,39,58.21
2026-04-16 08:00:00,20.91,50,21,521,629.99
2026-04-16 09:00:00,23.69,55,44,594,715.69
2026-04-16 10:00:00,24.14,56,28,588,711.76
2026-04-16 11:00:00,24.89,11,47,157,195.98
2026-04-16 12:00:00,24.77,17,161,331,405.83
2026-04-16 13:00:00,24.75,24,159,399,487.77
2026-04-16 14:00:00,23.63,49,113,603,727.52
2026-04-16 15:00:00,22.3,31,22,332,398.77
2026-04-16 16:00:00,18.44,45,37,487,594.45
2026-04-16 17:00:00,18.19,16,41,201,254.0
2026-04-16 18:00:00,14.79,21,27,237,308.05
2026-04-16 19:00:00,11.98,1,9,19,52.94
2026-04-16 20:00:00,9.39,1,3,13,51.96
2026-04-16 21:00:00,7.91,3,3,33,81.57
2026-04-16 22:00:00,6.86,1,1,11,58.55
2026-04-16 23:00:00,5.38,2,1,21,74.99
2026-04-17 00:00:00,2.89,0,0,0,59.25
2026-04-17 01:00:00,5.5,4,0,40,94.62
2026-04-17 02:00:00,8.29,0,4,4,46.49
2026-04-17 03:00:00,7.82,3,9,39,86.53
2026-04-17 04:00:00,8.29,4,1,41,90.62
2026-04-17 05:00:00,13.94,3,0,30,64.13
2026-04-17 06:00:00,15.21,4,1,41,67.78
2026-04-17 07:00:00,17.42,2,0,20,38.64
2026-04-17 08:00:00,18.01,57,32,602,733.7
2026-04-17 09:00:00,20.72,55,31,581,704.38
2026-04-17 10:00:00,23.51,42,27,447,537.78
2026-04-17 11:00:00,24.74,24,49,289,354.55
2026-04-17 12:00:00,27.51,17,165,335,414.77
2026-04-17 13:00:00,23.77,11,187,297,360.42
2026-04-17 14:00:00,23.8,36,107,467,567.33
2026-04-17 15:00:00,23.28,36,41,401,484.15
2026-04-17 16:00:00,19.54,49,41,531,646.64
2026-04-17 17:00:00,17.62,14,24,164,209.77
2026-04-17 18:00:00,15.96,19,44,234,299.42
2026-04-17 19:00:00,13.23,0,0,0,27.58
2026-04-17 20:00:00,9.94,0,3,3,40.14
2026-04-17 21:00:00,7.34,0,0,0,44.59
2026-04-17 22:00:00,6.84,0,0,0,42.12
2026-04-17 23:00:00,6.71,0,0,0,46.13
2026-04-18 00:00:00,7.31,2,10,30,78.91
2026-04-18 01:00:00,5.63,0,6,6,55.88
2026-04-18 02:00:00,4.56,1,11,21,77.15
2026-04-18 03:00:00,7.35,3,12,42,93.8
2026-04-18 04:00:00,8.87,0,12,12,55.04
2026-04-18 05:00:00,12.57,1,6,16,48.36
2026-04-18 06:00:00,14.71,2,4,24,48.56
2026-04-18 07:00:00,17.56,3,2,32,48.82
2026-04-18 08:00:00,19.66,4,14,54,68.52
2026-04-18 09:00:00,22.15,0,4,4,20.0
2026-04-18 10:00:00,22.73,4,17,57,68.2
2026-04-18 11:00:00,24.95,1,15,25,37.42
2026-04-18 12:00:00,26.37,1,18,28,44.44
2026-04-18 13:00:00,26.42,1,9,19,36.91
2026-04-18 14:00:00,22.9,4,4,44,56.15
2026-04-18 15:00:00,22.38,4,15,55,69.73
2026-04-18 16:00:00,20.01,1,17,27,34.25
2026-04-18 17:00:00,16.66,4,3,43,71.45
2026-04-18 18:00:00,15.62,0,5,5,25.43
2026-04-18 19:00:00,12.37,3,7,37,73.76
2026-04-18 20:00:00,9.83,1,14,24,67.61
2026-04-18 21:00:00,8.59,3,18,48,97.06
2026-04-18 22:00:00,6.99,0,12,12,58.92
2026-04-18 23:00:00,7.45,2,17,37,88.09
2026-04-19 00:00:00,3.98,0,11,11,63.95
2026-04-19 01:00:00,4.1,4,17,57,121.17
2026-04-19 02:00:00,6.97,2,5,25,74.98
2026-04-19 03:00:00,8.12,3,1,31,79.46
2026-04-19 04:00:00,10.68,2,2,22,61.25
2026-04-19 05:00:00,13.36,0,18,18,48.67
2026-04-19 06:00:00,15.77,0,17,17,39.99
2026-04-19 07:00:00,17.56,3,9,39,60.92
2026-04-19 08:00:00,20.44,2,3,23,33.28
2026-04-19 09:00:00,22.4,1,19,29,35.74
2026-04-19 10:00:00,24.69,0,17,17,29.67
2026-04-19 11:00:00,25.42,2,1,21,33.76
2026-04-19 12:00:00,24.78,4,14,54,70.98
2026-04-19 13:00:00,24.72,4,19,59,78.93
2026-04-19 14:00:00,21.8,4,18,58,68.51
2026-04-19 15:00:00,21.39,4,5,45,54.31
2026-04-19 16:00:00,20.55,4,8,48,60.08
2026-04-19 17:00:00,17.51,0,5,5,21.96
2026-04-19 18:00:00,14.88,1,13,23,49.37
2026-04-19 19:00:00,12.09,0,5,5,33.12
2026-04-19 20:00:00,9.58,0,13,13,53.69
2026-04-19 21:00:00,7.8,2,15,35,86.74
2026-04-19 22:00:00,7.51,4,17,57,110.0
2026-04-19 23:00:00,5.05,1,2,12,64.84
2026-04-20 00:00:00,4.78,2,0,20,76.85
2026-04-20 01:00:00,4.86,1,5,15,71.42
2026-04-20 02:00:00,7.15,1,0,10,53.97
2026-04-20 03:00:00,7.68,2,3,23,68.58
2026-04-20 04:00:00,12.48,2,0,20,51.13
2026-04-20 05:00:00,13.25,2,0,20,49.62
2026-04-20 06:00:00,13.46,0,0,0,26.36
2026-04-20 07:00:00,18.13,1,2,12,28.72
2026-04-20 08:00:00,18.1,59,25,615,749.32
2026-04-20 09:00:00,22.43,50,34,534,639.93
2026-04-20 10:00:00,23.15,59,29,619,747.59
2026-04-20 11:00:00,24.34,14,43,183,224.6
2026-04-20 12:00:00,25.54,17,186,356,434.99
2026-04-20 13:00:00,23.58,19,159,349,421.37
2026-04-20 14:00:00,25.52,31,133,443,542.19
2026-04-20 15:00:00,22.84,42,31,451,543.29
2026-04-20 16:00:00,18.82,46,34,494,604.68
2026-04-20 17:00:00,18.29,15,37,187,235.13
2026-04-20 18:00:00,15.08,10,38,138,188.72
2026-04-20 19:00:00,11.52,1,0,10,47.4
2026-04-20 20:00:00,10.71,3,0,30,68.55
2026-04-20 21:00:00,8.03,0,6,6,48.04
2026-04-20 22:00:00,7.38,1,0,10,52.71
2026-04-20 23:00:00,5.48,3,3,33,90.38
2026-04-21 00:00:00,6.33,4,0,40,92.5
2026-04-21 01:00:00,5.83,2,0,20,71.11
2026-04-21 02:00:00,7.75,0,0,0,43.79
2026-04-21 03:00:00,9.09,1,2,12,53.98
2026-04-21 04:00:00,9.92,4,0,40,83.34
2026-04-21 05:00:00,10.85,2,0,20,57.25
2026-04-21 06:00:00,14.5,0,7,7,28.56
2026-04-21 07:00:00,17.26,4,2,42,64.85
2026-04-21 08:00:00,19.84,53,49,579,700.31
2026-04-21 09:00:00,22.27,48,23,503,603.18
2026-04-21 10:00:00,24.74,42,49,469,570.87
2026-04-21 11:00:00,23.74,23,32,262,321.03
2026-04-21 12:00:00,24.8,24,194,434,526.7
2026-04-21 13:00:00,25.79,14,179,319,393.78
2026-04-21 14:00:00,22.49,36,127,487,582.36
2026-04-21 15:00:00,22.33,43,37,467,559.62
2026-04-21 16:00:00,18.91,33,48,378,464.28
2026-04-21 17:00:00,17.97,13,46,176,225.43
2026-04-21 18:00:00,15.35,14,32,172,226.65
2026-04-21 19:00:00,13.11,2,6,26,58.64
2026-04-21 20:00:00,11.17,4,9,49,91.52
2026-04-21 21:00:00,8.08,3,0,30,79.87
2026-04-21 22:00:00,7.93,2,0,20,70.71
2026-04-21 23:00:00,5.48,1,3,13,63.79
2026-04-22 00:00:00,4.24,1,8,18,75.72
2026-04-22 01:00:00,3.18,0,9,9,69.22
2026-04-22 02:00:00,6.24,2,8,28,82.38
2026-04-22 03:00:00,7.83,0,0,0,43.14
2026-04-22 04:00:00,9.61,0,7,7,44.95
2026-04-22 05:00:00,13.5,4,5,45,83.25
2026-04-22 06:00:00,15.36,3,0,30,57.82
2026-04-22 07:00:00,17.03,3,2,32,54.85
2026-04-22 08:00:00,20.43,50,28,528,637.13
2026-04-22 09:00:00,21.33,49,23,513,614.98
2026-04-22 10:00:00,25.3,53,28,558,679.33
